State;Code;Region;Developement;Population;Infectious and parasitic diseases;Respiratory Infectious ;Maternal conditions;Neonatal conditions;Nutritional deficiencies;Malignant neoplasms;Other neoplasms;Diabetes mellitus;Endocrine, blood, immune disorders;Mental and substance use disorders;Neurological conditions;Sense organ diseases;Cardiovascular diseases;Respiratory diseases;Digestive diseases;Genitourinary diseases;Skin diseases;Musculoskeletal diseases;Congenital anomalies;Oral conditions;Sudden infant death syndrome;Road injury;Poisonings;Falls;Fire, heat and hot substances;Drowning;Exposure to mechanical forces;Natural disasters;Other unintentional injuries;Self-harm;Interpersonal violence;Collective violence and legal intervention
Jamaica;JAM;America;Developing;2881;1,1;0,6;0;0,4;0,1;3,9;0,1;2,3;0,2;0;0,9;0;5,9;0,6;0,5;0,9;0,2;0,1;0,2;0;0;0,3;0;0,1;0;0;0;0;0,1;0,1;1,1;0
Japan;JPN;Asia;Developed;127749;21,7;141,5;0;0,6;3,2;399,7;12,6;14,4;10,5;2,3;53,3;0;358,7;115;57,9;44,3;1,9;6,6;2,8;0,1;0,1;4,8;0,5;7,9;1,1;7,3;0,6;0;17,3;23,7;0,3;0
Jordan;JOR;Asia;Developing;9456;0,5;1,3;0,1;2;0;4,4;0,2;2,3;0,3;0,1;2;0;13,4;1;1,2;2;0,1;0,1;1,2;0;0;2,2;0,1;0,2;0,2;0,1;0,1;0;0,5;0,3;0,3;0
Kazakhstan;KAZ;Asia;Developing;17988;1,6;3,1;0;1,8;0,1;26;0,1;1,3;0,3;1,7;4,1;0;73,9;6,6;9,9;2,2;0;0;1;0;0,1;4,5;0,4;0,7;0,4;0,8;0,2;0;1,4;4;1,5;0
Kenya;KEN;Africa;Developing;48462;119,7;19,5;5,4;29,1;6;27,4;0,6;2,3;1,2;0,4;3,4;0;21,5;3,4;7,3;1,7;0,7;0,2;6,7;0;0,4;13,5;0,9;1,9;1,2;1,5;0,9;0;3,4;1,5;2,6;0,1
Kiribati;KIR;Oceania;Developing;114;0,1;0,1;0;0,1;0;0,1;0;0,1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kuwait;KWT;Asia;Developing;4053;0,4;1,1;0;0,2;0;1,7;0,1;0,3;0,1;0,1;0,1;0;4,6;0,3;0,3;0,3;0;0;0,2;0;0;0,7;0;0,1;0;0;0;0;0,2;0,1;0,1;0
Kyrgyzstan;KGZ;Asia;Developing;5956;1;1;0,1;1,5;0;3,9;0,1;0,4;0,1;0,6;0,4;0;19,3;1,5;2,6;0,6;0;0,1;0,6;0;0;1;0;0,1;0,1;0,2;0,1;0;0,4;0,5;0,3;0
Lao People's Democratic Republic;LAO;Asia;Developing;6758;6,8;3,2;0,4;4,1;0,4;5,5;0,1;1,7;0,2;0,1;1,2;0;12,7;2,5;2;1,2;0,1;0;0,9;0;0;1,1;0,1;0,4;0,2;0,8;0,1;0;0,6;0,6;0,5;0
Latvia;LVA;Europe;Developed;1971;0,3;0,4;0;0;0;5,9;0,1;0,5;0,1;0,3;0,5;0;15,9;0,4;1,1;0,5;0,1;0,1;0;0;0;0,2;0;0,2;0,1;0,2;0,1;0;0,2;0,4;0,1;0
Lebanon;LBN;Asia;Developing;6007;0,4;0,6;0;0,3;0;6,1;0,3;1,9;0,2;0,1;3,9;0;17,8;1,6;1,3;1,1;0,2;0;0,3;0;0;1,1;0;0,2;0,1;0,1;0,1;0;0,2;0,2;0,3;0
Lesotho;LSO;Africa;Developing;2204;13,1;1,9;0,4;2,1;0,3;1,3;0;1,2;0,2;0,1;0,4;0;4,1;1,1;0,5;0,3;0;0;0,4;0;0;0,6;0,1;0;0,1;0,1;0,1;0;0,2;0,5;0,8;0
