id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9024440,Authentic charm in medieval quarter,13037514,Marie-Catherine,,Binnenstad,51.05722,3.72101,Private room,62,1,113,2019-04-07,2.67,1,3
9037819,Peaceful countryside studio close to Ghent,39416807,Angelique,,Drongen,51.06219,3.621,Entire home/apt,65,1,130,2019-04-01,6.45,1,33
9038976,Trendy flat in historical centre,46955407,Marleen,,Binnenstad,51.05797,3.72291,Entire home/apt,180,1,8,2016-05-29,0.19,2,278
9048939,Breathtaking Views in ❤ of Ghent with Hot Tub,17321727,Bert,,Elisabethbegijnhof - Papegaai,51.05215,3.72013,Entire home/apt,119,3,100,2019-03-08,2.40,1,44
9054868,Full floor,47168028,Annick,,Elisabethbegijnhof - Papegaai,51.04787,3.71496,Private room,110,1,14,2017-07-22,0.33,1,0
9087777,Private room in a Belle-Epoque house,47388258,F,,Dampoort,51.05084,3.74471,Private room,20,1,315,2019-04-08,7.48,3,317
9090897,Knusse kamer in kleine 2 kamer flat,47401482,Myriam,,Binnenstad,51.04082,3.7389,Private room,35,3,0,,,1,0
9191627,Spacious room near citycentre\train,16821931,Annelies,,Elisabethbegijnhof - Papegaai,51.04815,3.71364,Private room,35,1,2,2015-12-01,0.05,1,0
9213284,Furnished 2 person apartment for rent in Ghent,25065540,Ram,,Zwijnaarde,51.01164,3.70341,Entire home/apt,49,14,1,2018-12-22,0.26,1,257
9285223,La luz liquida,48217672,Lalulit,,Watersportbaan - Ekkergem,51.04661,3.71285,Entire home/apt,180,12,6,2016-07-24,0.15,1,365
9348847,Central South Park view in a green oasis!,48518927,Lorenzo,,Binnenstad,51.04309,3.73166,Private room,35,1,2,2017-12-28,0.12,1,0
9405140,Small houseboat - Kleine woonboot (12 meter),48772653,Eddie,,Brugse Poort - Rooigem,51.06229,3.70207,Entire home/apt,35,1,52,2019-04-02,1.28,1,71
9418138,Charming apartment in the centre,12243332,Annelore,,Binnenstad,51.05662,3.73061,Entire home/apt,75,2,5,2016-07-25,0.12,1,0
9459185,"Comfortable apartment, great view",36675850,Henri,,Binnenstad,51.04609,3.72282,Private room,45,1,33,2016-08-18,0.80,1,0
9517251,comfortable 2 bedroom apartment,17180388,Gerda,,Sluizeken - Tolhuis - Ham,51.06502,3.72944,Entire home/apt,90,10,3,2016-04-06,0.07,6,136
9521337,Cosy Apartment in Heart of Ghent,49330745,Weena,,Elisabethbegijnhof - Papegaai,51.05741,3.71811,Entire home/apt,82,2,216,2019-03-26,5.71,1,313
9576300,Spatious app  with terras - garden,49569416,Wim,,Rabot  - Blaisantvest,51.05792,3.70895,Entire home/apt,90,2,109,2019-03-30,2.65,1,203
9743759,"Ruim huis in rustige straat, ideaal voor families.",50268558,Eva,,Dampoort,51.04925,3.75158,Entire home/apt,172,2,21,2019-04-14,0.55,1,349
9763159,Charming studio near train station,18624377,Stefan,,Stationsbuurt Zuid,51.03694,3.70045,Private room,43,1,288,2019-03-31,7.04,1,58
9771878,Spacious apartment,26628047,Karen,,Binnenstad,51.03857,3.73097,Entire home/apt,95,5,0,,,1,0
9776766,B&B Private room in shared home.,19408799,Jonathan,,Stationsbuurt Zuid,51.02766,3.72141,Private room,20,1,82,2019-02-10,2.00,1,333
9853367,Cosy house in quiet street,12898908,Jorid,,Dampoort,51.04733,3.75217,Entire home/apt,100,7,13,2016-07-30,0.32,2,104
9892022,Nieuwe flat in historisch centrum,46955407,Marleen,,Binnenstad,51.05406,3.7208,Entire home/apt,150,1,4,2019-01-31,0.10,2,227
9895777,Studio lumineux et confortable,38437518,Catherine,,Stationsbuurt Zuid,51.03704,3.70164,Entire home/apt,65,2,34,2019-04-07,0.87,1,345
