id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19145708,Large Duplex with garden near city center,32071469,Veronique,,Schaerbeek,50.86271,4.37379,Entire home/apt,80,3,13,2019-03-17,0.61,1,26
19146595,Appartement au calme,1419117,Quentin,,Auderghem,50.81795,4.42056,Entire home/apt,45,100,0,,,1,358
19153953,★ Architect apartment - Churchill area,133919551,Margaux,,Ixelles,50.81583,4.35055,Entire home/apt,120,3,57,2019-03-24,2.65,1,48
19157801,Studio neuf ULB Ixelles,4864054,Eugenie,,Bruxelles,50.80167,4.38991,Entire home/apt,59,2,0,,,1,0
19159881,3 rooms/120m² apartment close to the city center,42406250,Théophile,,Schaerbeek,50.85133,4.38886,Entire home/apt,160,1,0,,,1,0
19164980,Chambre & terrasse privée plein sud à 10min/centre,19211876,Delphine,,Auderghem,50.82599,4.39703,Private room,60,2,2,2017-10-15,0.09,1,0
19167181,Beautiful 3BR Duplex Penthouse in the EU Quarter,19427428,Sweet Inn,,Ixelles,50.8373,4.37275,Entire home/apt,170,2,41,2019-04-07,1.86,65,211
19171688,★ Modern flat in the heart of Brussels,90386299,Thibault,,Bruxelles,50.8512,4.35588,Entire home/apt,47,3,66,2019-04-11,3.34,1,19
19172941,Breathtaking view - Louise area,19293722,Pauline Et Elliot,,Ixelles,50.82709,4.36566,Entire home/apt,45,7,36,2019-03-23,1.66,80,45
19175301,GP4 Grand-Place 4,79226751,Christian,,Bruxelles,50.84667,4.35299,Entire home/apt,118,1,12,2018-08-16,0.65,20,323
19176491,Chez Barbara Beautiful appartement,5496497,Barbara,,Etterbeek,50.83617,4.3892,Entire home/apt,60,1,32,2019-03-27,1.46,1,335
19180769,Be  my Guest 5,108430418,Alexandrina,,Etterbeek,50.83628,4.38612,Private room,79,1,29,2018-10-16,1.46,2,171
19186017,Au coeur de St Gilles,20937638,Julia,,Saint-Gilles,50.82473,4.34359,Entire home/apt,50,5,2,2017-07-22,0.09,1,0
19193242,Bright luxury appartment- EU quarter !,70984673,Malik,,Bruxelles,50.84553,4.38161,Entire home/apt,105,3,43,2019-02-17,1.95,2,77
19201562,Duplex original et lumineux à Saint-Gilles,35527442,Mathilde,,Saint-Gilles,50.83011,4.34456,Entire home/apt,65,2,5,2017-10-30,0.25,1,0
19202088,The Cherry - Appart.  Close to EU & center.,10789523,Cédric,,Schaerbeek,50.84684,4.39427,Entire home/apt,50,6,8,2019-04-05,0.43,2,160
19205677,Flat between the ponds of Ixelles and Flagey.,27774504,Andreas,,Ixelles,50.825,4.37441,Entire home/apt,35,15,9,2018-10-11,0.41,1,3
19206093,studio a louer,133129260,Joseph,,Woluwe-Saint-Lambert,50.84826,4.44889,Private room,45,1,0,,,1,0
