id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8535336,"Spacious and cosy, 10min to station",4602610,Kamila & Bart,,Universiteitsbuurt,51.22082,4.41018,Entire home/apt,50,1,50,2016-12-09,1.19,1,0
8549169,Antwerp Apartment,29912395,Dea,,Amandus - Atheneum,51.22463,4.42424,Entire home/apt,50,1,5,2019-04-14,3.26,1,18
8572907,Ruim huis vlak bij centrum,5240164,Jonas,,Borgerhout Intra Muros Zuid,51.20951,4.43701,Private room,60,2,4,2017-07-22,0.17,1,0
8587634,Blue room_with private bathroom and kitchen,32817557,Kukumaria,,Amandus - Atheneum,51.22328,4.41895,Entire home/apt,50,1,363,2019-04-10,8.45,2,311
8599666,New flat theater area Antwerp(WIFI),39961455,Sam,,Theaterbuurt-Meir,51.2135,4.40549,Entire home/apt,80,1,223,2019-04-06,5.40,3,303
8605552,the HanjamInn - top deal,26032387,Benjamin & Hanne,,Oud - Berchem,51.19467,4.42046,Entire home/apt,350,2,42,2019-04-01,1.07,3,331
8725792,One bedroom Appt in Mid center Antw,45793937,Daniella,,Stadspark,51.21008,4.40944,Entire home/apt,70,4,20,2019-04-01,0.55,1,297
8746872,Vintage Design Apartment in Antwerp,18791029,Mikkie,,Oud - Berchem,51.19951,4.42178,Entire home/apt,70,1,80,2019-01-05,1.88,1,0
8751883,Vakantiewoning Monnikenhoeve (#32),26893689,Filip,,Polder,51.3494,4.34242,Entire home/apt,375,2,18,2019-02-24,0.47,1,202
8752843,House in back of city garden,45905980,Petra,,Borgerhout Intra Muros Zuid,51.21127,4.43101,Entire home/apt,50,1,163,2019-04-05,4.03,2,57
8757097,Amazing location! Charming Romantic Historic - TOP,45923414,Linda,,Zuid,51.20781,4.39219,Entire home/apt,68,2,50,2019-03-31,1.18,2,348
8766126,Rustige studio,19889207,Alexander,,Historisch Centrum,51.22394,4.40172,Entire home/apt,60,1,378,2019-03-31,8.82,4,103
8768957,"Very bright flat, close to center",3809458,Lien,,Stuivenberg,51.22785,4.42907,Entire home/apt,54,2,41,2019-04-14,1.01,1,48
8769507,Beautiful LOFT appartment - heart of the city,45978299,Karine,,Zuid,51.21033,4.39749,Entire home/apt,98,2,142,2019-04-14,3.30,1,334
8772155,beautiful apartment @trendy Zuid A,29142151,Suzy,,Zuid,51.20788,4.38686,Entire home/apt,140,3,14,2018-10-23,0.33,3,345
8797202,Saint Pauls Suite 5,34416465,Ima,,Historisch Centrum,51.22333,4.40267,Entire home/apt,80,1,69,2019-04-12,1.62,41,350
8797389,Saint Pauls Suite 6,34416465,Ima,,Historisch Centrum,51.22473,4.40123,Entire home/apt,75,2,68,2019-04-13,1.61,41,339
8827638,Comfortable room for solo traveler,18006399,Silke,,Stuivenberg,51.2217,4.43215,Private room,21,1,110,2018-10-12,2.57,1,4
8836008,*Cosy vintage flat*center antwerp3*,12409903,Annick,,Theaterbuurt-Meir,51.21518,4.40874,Entire home/apt,85,1,198,2019-03-31,4.64,2,343
8853612,"LOFT, ViNTAGE, DESiGN & WARM PLACE near to CS!!!",27447276,Ibrahim,,Centraal Station,51.21697,4.42542,Entire home/apt,79,1,98,2019-03-31,2.30,1,166
8877884,RELAX @ Antwerp Centre south,46459971,Pascal,,Zuid,51.21043,4.39652,Entire home/apt,72,2,78,2019-01-13,1.84,1,359
8929714,Room in apartment near Central Station,35492867,Arne,,Centraal Station,51.21721,4.41932,Private room,30,2,43,2019-01-27,1.02,1,46
8965535,Calm in the middle of the vibrant South District!,46855052,Marije,,Zuid,51.2082,4.38983,Entire home/apt,69,1,112,2019-03-30,2.93,1,261
